term,description
"А (нем. а, англ. эй)",буквенное обозначение звука ля
"А (ит. а), а (фр. а)","на, у, к, с, при, в, до, вроде, в характере, в стиле"
А battuta (ит. а баттута),"вернуться к ритмически точному исполнению (после rubato, ritardando и т. д.)"
А bocca chiusa (ит. а бокка кьюза),[петь] с закрытым ртом
А bene placito (ит. а бэнэ плачито),"темп и ритм по усмотрению исполнителя, то же, что a piacere, a piacimento"
А cadenza (ит. а кадэнца),"в характере каденции, свободно"
"А cappella (ит. а каппэлла), alla cappellа (алла каппэлла)",пение хора 6eз сопровождения
А capriccio (ит. а каприччо),по желанию
A deux (фр. а дэ),"вдвоем, на 2 инструментах"
A deux mains (а дэ мэн),в 2 руки
А due  (ит. а дуэ),"вдвоем, на 2 инструментах"
А due mani  (а дуэ мани),в 2 руки
А due voci  (а дуэ вочи),на 2 голоса
A la (фр. а ля),"вроде, в характере"
A l'aise (фр. альэз),свободно в темпе и ритме
A la mesure (фр. а ля мэзюр),1) в такт; 2) в прежнем темпе
А libito (ит. а либито),по желанию
А little quicker (англ. э литл куйкэ),немного быстрее
A livre ouvert (фр. а ливр увэр),[играть] с листа
А meta d'arco (ит. мэта д'арко),[играть] серединой смычка
А mezza voce (ит. а мэдза вочэ; традиционном произношении,а мэцца вочэ) – вполголоса
"A quatre mains (фр. а катр мэн), a quattro mani (ит. а куатро мáни)",в 4 руки
A peine  (фр. а пэн),"едва, еле-еле"
A peine alenti (фр. а пэн алянти),едва замедляя [Равель]
A plein son (фр. а плэн сон),полным звуком
"А росо а росо (ит. а поко а поко), арросо (аппоко)","мало-помалу, постепенно"
A premiere vue (фр. а прэмьёр вю),[играть] с листа
А prima vista (ит. а прима виста),[играть] с листа
"A quatre mains (фр. а катр мэн), a quattro mani (ит. а куаттро мани)",в 4 руки
"A quatre parties (фр. а катр парти), a quattro voci (ит. а куатро вочи)",на 4 голоса
А suo arbitrio (а суо арбитрио),по своему усмотрению
А suo comodo (ит. а суо комодо),по желанию
А tempo (ит. а тэмпо),в прежнем темпе
А tempo di... (ит. а тэмпо ди...),"в темпе, обычно присущем какому-либо музыкальному жанру"
А tempo di marcia (а тэмпо ди марча),в темпе марша
А tempo libero (ит. а тэмпо либэро),непринужденно; буквально в свободном темпе
"А tre (ит. а трэ), a tre voci (а трэ вочи), a trois parties (фр. а труа парти)","в 3 голоса, втроем"
А tre corde (ит. а трэ кóрдэ),"на 3 струнах, т. е. снять левую педаль при игре на фортепиано"
A trois temps (фр. а труа тан),3-дольный размер
А tutte corde (ит. а туттэ кóрдэ),"на всех струнах, т. е. снять левую педаль при игре на фортепиано"
А una corda (ит. а уна корда),на одной струне; взять левую педаль на фортепиано
А vicenda (ит. а вичэнда),"по очереди, попеременно"
А vista (ит. а виста),играть с листа
А voce piena (ит. а вóчэ пьёна),полным голосом
А voce sola (ит. а вóчэ сола) соло для голоса,
А voglia (а вóлья),по желанию
A volonte (а волонтэ),"по желанию, как угодно"
Аb (нем. аб),"прочь, снять"
Аbaisser (фр. абэссэ),понижать
Аbandon (фр. абандон),"непринужденность; avec abandon (авэк абандон) - непринужденно, отдаваясь чувству"
"Аbbandonatamente (ит. аббандонатамэнтэ), con abbandono (кон аббандоно)","непринужденно, отдаваясь чувству"
Аbbandono,непринужденность
Аbbassamento (ит. аббассамэнто),понижение
Аbbassamento di mano (аббассамэнто ди мано),при игре на фортепиано подкладывание одной руки под др.
Аbbassamento di voce (аббассамэнто ди воче),ослабление звука голоса
Аbbassando (аббассандо),понижая (уменьшая силу звука)
Аbbeltendo (ит. аббэллёндо),"украшая, добавляя произвольные украшения"
Аbbellimento (ит. аббэллимэнто),украшение
Аbbellitura (аббэллитура),украшение
"Аbbreviation (англ. эбривиэйшн), abbreviature (ит. аббрэвиатуре), Abbreviaturen (нем. аббрэвиатурэн)",знаки сокращения нотного письма
Аbdampfen (нем. абдэмпфэн),приглушить [звук]
Аber (нем. абер),"но, однако, же"
"Аber gewichtig (нем. цимлих бэвэгт, абэр гевихтих)","довольно подвижно, но тяжело"
Аbgerissen (нем. абгериссэн),оборвать
Аbgestimmt (нем. абгештимт),настроенный
Аb initio (лат. аб иницио),сначала
Аbkurzungen (нем. абкюрцунген),"знаки сокращения нотного письма, то же, что Abbreviaturen"
Аbnehmend (нем. абнэмэнд),ослабляя [звук]
Аbreger (фр. абрэжэ),"сокращать, укорачивать"
Аbrege (абрэжэ),1) сокращенно; 2) трактура (управляющий механизм в органе)
Аbreissend (нем. абрайссэнд),оборвать
Аbreviations (фр. абрэвиасьон),знаки сокращения нотного письма
Аbruptio (лат. абрупцио),"перерыв, внезапная пауза"
Аbschwellen (нем. абшвэллен),затихать
Аbsetzen (нем. абзэтцэн),в эстрадной музыке - резкое прекращение звучания
"Аbsolute music (англ. эбсэлют мьюзик), absolute Musik (нем. абсолютэ музик)",непрограммная музыка
Аbstossen (нем. абштоссэн),отрывисто; деташе
Аbstrich (нем. абштрих),движение смычком вниз
Аbteilung (нем. абтайлюнг),"раздел, часть"
Аbwechselnd (нем. абвэксэльнд),чередуя [с другим инструментом]
Аbwechslungsreich (нем. абвэкслюнгсрайх),с разнообразными сменами темпа и нюансов
Аbwogend (нем. абвогенд),сдерживаяя
Аccablement (фр. акаблеман),"уныние, удрученность"
Аavec accablement (авэк акаблеман),удрученно
Аccademia (ит. аккадэмиа),1) академия - высшее учебное заведение или научное учреждение; 2) наименование концерта в Западной Европе в 18 в.
Аccademia spirituale (аккадэмиа спиритуале),духовный концерт
Аccarezzevole (ит. аккарэццэволе),ласково
Аcceleramento (ит. аччэлерамэнто),"ускорение; con acceleramento (кон аччэлерамэнто), accelerando (аччэлерандо) - ускоряя"
Аccelerato (аччэлерато),ускоренно
Аcceleration (фр. аксэлерасьон),ускорение
Аccelerez (аксэлерэ),ускорьте
"Аccent (англ. эксэнт), Аccento (ит. аччэнто), Аccentuation (фр. аксантюасьон, англ. эксэнтьюэйшен), Аccentuazionе (ит. аччэнтуационэ)","акцент, ударение"
Аccent (фр. аксан),"1) ударение, акцент; 2) в старинной музыке форшлаг или нахшлаг"
"Аccentando (ит. аччэнтандо), accentato (аччэнтато), accentuato (аччэнтуато), accentue (фр. аксантюэ), accentuated (англ. эксэнтьюэйтид)",акцентируя
Аccentus (лат. акцентус),декламация нараспев
Аccessoire (фр. аксэсуар),добавочный
Аcciaccato (ит. аччаккато),резко
Аcciaccatura (ит. аччаккатура),вид форшлага
"Аccidents (фр. аксидан), Аccidenti (ит. аччидэнти)",знаки альтерации
"Аccolada (ит. акколада), Аccolade (фр. аколад)",акколада
"Аccompagnamento (ит. аккомпаньямэнто), Аccompagnement (фр. акомпаньеман), Аccompaniment (англ. экампэнимэнт)","аккомпанемент, сопровождение"
"Аccompagnando (ит. аккомпаньяндо), Аccompagnato (аккомпаньято)","с сопровождением, аккомпанируя"
Аccompagnando  up  peu  veloute (ит.,"фр. аккомпаньмндо эп пэ вэлютэ), Аaccompagnando  slightly  velvety (ит.- англ. аккомпаньяндо слайтли вэлвети) - аккомпанировать слегка завуалированно"
Аccoppiamento ит. аккомпьямэнто),"копула (в органе механизм, позволяющий при игре на одной клавиатуре присоединять регистры других клавиатур)"
Аccoppiare (ит. аккоппьярэ),"соединять, сочетать"
Аccord (англ. экоод),аккорд
Аccord (фр. акор),"1) аккорд; 2) нормальная настройка инструмента; 3) строй транспонирующего инструмента (например, валторна in F); 4) в 15- 16 вв.- ансамбли инструментов одного семейства"
Аccord a l'ouvert (акор аль увэр),звучание открытых струн
Аccord brise (фр. акор бризэ),арпеджио
Аccord de neuvieme (фр. акор дэ нэвьем),нонаккорд
Аccord de quarte et sixte (фр. акор дэ карт э сикст),квартсекстаккорд
Аccord de quinte et sixte (фр. акор дэ кэнт э сикст),квинтсекстаккорд
Аccord de seconde (фр. акор дэ сэконд),секундаккорд
Аccord de septième (фр. акор дэ сэтьем),септаккорд
Аccord de sixte (фр. акор дэ сикст),секстаккорд
Аccord de tierce et quarte (фр. акор дэ тьерс э карт),терцквартаккорд
"Аccord parfait (фр. акор парфэ), Аccordo perfetto (ит. аккордо пэрфэтто)",трезвучие
Аccord plaque (фр. акор плякэ),одновременное звучание всех нот аккорда [в противоположность арпеджио]
Аccordage (фр. акордаж),настройка
Аccorder (фр. акордэ),настраивать
Аccordando (ит. аккордандо),согласовывая
Аccordare (ит. аккордарэ),настраивать
Аccordatura (аккордатура),нормальная настройка инструмента
Аccordate subito (ит. аккордатэ субито),перестройте немедленно
Аccordatoio (ит. аккордатóйо),камертон
Аccordeon (фр. акордэон),аккордеон
Аccordiere (фр. акордьёр),колковый ящик у смычковых инструментов
Аccordo (ит. аккордо),1) аккорд; 2) старинный смычковый инструмент
Аccordo di nоnа (ит. аккордо ди нона),нонаккорд
Аccordo di sesta (ит. аккордо ди сэста),секстаккорд
